user_id,subscription_type,monthly_revenue,join_date,last_payment_date,country
42,Basic,10,15-06-22,28-06-23,Canada
43,Standard,12,07-02-22,27-06-23,United Kingdom
44,Standard,12,26-04-22,26-06-23,Australia
45,Basic,10,28-01-23,28-06-23,Germany
46,Premium,15,23-02-22,27-06-23,France
47,Basic,10,05-10-22,25-06-23,Brazil
48,Standard,12,15-09-21,24-06-23,Mexico
49,Premium,15,10-11-22,23-06-23,Spain
50,Basic,10,02-06-23,22-06-23,Italy
51,Premium,15,27-02-23,22-06-23,United States
52,Basic,10,29-08-22,28-06-23,Canada
53,Standard,12,13-01-22,27-06-23,United Kingdom
54,Standard,12,30-06-22,26-06-23,Australia
55,Basic,10,20-04-23,28-06-23,Germany
56,Premium,15,15-03-22,27-06-23,France
57,Basic,10,01-10-22,25-06-23,Brazil
58,Standard,12,08-10-21,24-06-23,Mexico
59,Premium,15,03-12-22,23-06-23,Spain
60,Basic,10,14-06-23,22-06-23,Italy
61,Premium,15,08-02-23,22-06-23,United States
62,Basic,10,03-08-22,28-06-23,Canada
63,Standard,12,23-02-22,27-06-23,United Kingdom
64,Standard,12,20-06-22,26-06-23,Australia
65,Basic,10,29-03-23,28-06-23,Germany
66,Premium,15,30-01-22,27-06-23,France
67,Basic,10,18-09-22,25-06-23,Brazil
68,Standard,12,09-11-21,24-06-23,Mexico
69,Premium,15,23-12-22,23-06-23,Spain
70,Basic,10,08-05-23,22-06-23,Italy
71,Basic,10,26-01-22,20-06-23,United States
72,Basic,10,11-10-22,22-06-23,Canada
73,Standard,12,27-09-22,26-06-23,United Kingdom
74,Premium,13,14-12-22,25-06-23,Australia
75,Basic,13,28-05-22,26-06-23,Germany
76,Basic,13,29-12-21,26-06-23,France
77,Premium,15,25-12-22,23-06-23,Brazil
78,Standard,15,18-11-22,28-06-23,Mexico
79,Standard,15,03-12-22,25-06-23,Spain
80,Basic,12,08-11-22,22-06-23,Italy
81,Premium,10,11-01-23,24-06-23,United States
82,Standard,12,07-12-22,28-06-23,Canada
83,Basic,10,20-10-22,26-06-23,United Kingdom
84,Standard,12,13-04-23,25-06-23,Australia
85,Premium,10,06-04-23,27-06-23,Germany
86,Basic,11,04-03-22,25-06-23,France
87,Premium,15,28-12-21,23-06-23,Brazil
88,Standard,12,27-09-22,28-06-23,Mexico
89,Basic,15,20-10-22,26-06-23,Spain
90,Standard,13,03-02-23,23-06-23,Italy
91,Premium,11,03-10-22,23-06-23,United States
92,Basic,14,05-01-22,28-06-23,Canada
93,Standard,12,05-02-22,26-06-23,United Kingdom
94,Premium,12,19-03-22,25-06-23,Australia
95,Basic,11,28-02-22,25-06-23,Germany
96,Premium,14,26-07-22,24-06-23,France
97,Basic,10,05-03-22,24-06-23,Brazil
98,Standard,13,07-03-22,28-06-23,Mexico
99,Standard,12,13-01-23,24-06-23,Spain
100,Basic,12,22-01-23,25-06-23,Italy
101,Premium,11,17-10-22,24-06-23,United States
102,Basic,12,29-03-22,28-06-23,Canada
103,Standard,13,04-04-22,26-06-23,United Kingdom
104,Premium,10,08-06-22,25-06-23,Australia
105,Basic,11,04-03-22,27-06-23,Germany
106,Premium,10,18-03-22,24-06-23,France
107,Basic,14,07-03-22,24-06-23,Brazil
108,Standard,12,24-05-22,25-06-23,Mexico
109,Standard,13,08-02-23,25-06-23,Spain
110,Basic,13,26-01-23,24-06-23,Italy
111,Premium,14,14-07-22,27-06-23,United States
112,Basic,10,01-06-22,28-06-23,Canada
113,Standard,15,07-05-22,26-06-23,United Kingdom
114,Premium,10,18-11-22,25-06-23,Australia
115,Basic,11,05-04-22,25-06-23,Germany
116,Premium,14,19-05-22,23-06-23,France
117,Basic,15,30-10-21,23-06-23,Brazil
118,Standard,12,07-08-22,27-06-23,Mexico
119,Standard,11,20-09-22,25-06-23,Spain
120,Basic,10,18-10-22,25-06-23,Italy
121,Premium,15,03-10-22,24-06-23,United States
122,Basic,11,03-05-22,28-06-23,Canada
123,Standard,13,25-05-22,26-06-23,United Kingdom
124,Premium,15,05-11-22,25-06-23,Australia
125,Basic,12,21-08-22,24-06-23,Germany
126,Premium,13,21-09-22,23-06-23,France
127,Basic,10,23-11-21,23-06-23,Brazil
128,Standard,12,06-10-22,27-06-23,Mexico
129,Standard,13,05-11-22,23-06-23,Spain
130,Basic,14,07-01-23,23-06-23,Italy
131,Premium,15,06-10-22,23-06-23,United States
132,Basic,15,24-06-22,28-06-23,Canada
133,Standard,13,24-06-22,26-06-23,United Kingdom
134,Premium,15,05-11-22,25-06-23,Australia
135,Basic,13,18-07-22,26-06-23,Germany
136,Premium,12,13-09-22,26-06-23,France
137,Basic,12,10-08-22,22-06-23,Brazil
138,Standard,15,21-09-22,23-06-23,Mexico
139,Standard,13,24-03-23,23-06-23,Spain
140,Basic,12,02-05-22,23-06-23,Italy
141,Premium,12,11-05-22,27-06-23,United States
142,Basic,14,10-06-22,22-06-23,Canada
143,Standard,14,31-08-22,24-06-23,United Kingdom
144,Premium,10,17-08-22,26-06-23,Australia
145,Basic,11,05-05-22,26-06-23,Germany
146,Basic,10,06-10-22,25-06-23,France
147,Basic,12,08-11-22,24-06-23,Brazil
148,Standard,15,27-11-22,28-06-23,Mexico
149,Premium,13,17-11-22,27-06-23,Spain
150,Basic,10,15-12-22,23-06-23,Italy
151,Basic,15,12-12-22,25-06-23,United States
152,Premium,14,23-11-22,27-06-23,Canada
153,Standard,11,25-12-22,24-06-23,United Kingdom
154,Standard,11,11-03-23,27-06-23,Australia
155,Basic,14,18-11-22,27-06-23,Germany
156,Premium,15,19-08-22,25-06-23,France
157,Standard,14,27-09-22,24-06-23,Brazil
158,Basic,13,19-10-22,28-06-23,Mexico
159,Standard,10,21-12-22,26-06-23,Spain
160,Premium,15,27-10-22,25-06-23,Italy
161,Basic,10,23-10-22,24-06-23,United States
162,Premium,15,19-04-22,25-06-23,Canada
163,Standard,11,05-04-22,26-06-23,United Kingdom
164,Basic,11,11-03-22,26-06-23,Australia
165,Standard,14,25-05-22,25-06-23,Germany
166,Premium,13,16-04-22,26-06-23,France
167,Basic,13,07-04-22,24-06-23,Brazil
168,Standard,10,11-12-22,28-06-23,Mexico
169,Premium,12,20-01-23,26-06-23,Spain
170,Basic,14,12-01-23,25-06-23,Italy
171,Premium,11,29-04-22,24-06-23,United States
172,Basic,12,27-04-22,26-06-23,Canada
173,Standard,15,03-06-22,25-06-23,United Kingdom
174,Standard,14,23-04-22,25-06-23,Australia
175,Basic,10,22-04-22,26-06-23,Germany
176,Premium,13,12-04-22,25-06-23,France
177,Basic,15,23-05-22,26-06-23,Brazil
178,Standard,13,19-10-22,26-06-23,Mexico
179,Premium,10,03-12-22,26-06-23,Spain
180,Basic,14,26-09-22,25-06-23,Italy
181,Premium,15,16-06-22,27-06-23,United States
182,Basic,13,16-05-22,25-06-23,Canada
183,Standard,15,26-05-22,26-06-23,United Kingdom
184,Standard,13,26-04-22,25-06-23,Australia
185,Basic,11,12-05-22,25-06-23,Germany
186,Premium,12,01-03-22,25-06-23,France
187,Basic,13,10-07-22,24-06-23,Brazil
188,Standard,15,16-07-22,27-06-23,Mexico
189,Premium,13,02-09-22,26-06-23,Spain
190,Basic,11,18-09-22,26-06-23,Italy
191,Premium,10,08-07-22,25-06-23,United States
192,Basic,14,26-06-22,27-06-23,Canada
193,Standard,11,05-08-22,25-06-23,United Kingdom
194,Standard,14,19-08-22,27-06-23,Australia
195,Basic,11,26-08-22,24-06-23,Germany
196,Premium,13,09-06-22,24-06-23,France
197,Basic,14,27-09-22,23-06-23,Brazil
198,Standard,10,18-10-22,27-06-23,Mexico
199,Premium,14,31-10-22,25-06-23,Spain
200,Basic,11,13-10-22,25-06-23,Italy
201,Premium,11,04-07-22,27-06-23,United States
202,Basic,12,26-06-22,27-06-23,Canada
203,Standard,13,31-07-22,24-06-23,United Kingdom
204,Standard,12,27-07-22,24-06-23,Australia
205,Basic,12,30-07-22,25-06-23,Germany
206,Premium,11,06-08-22,25-06-23,France
207,Basic,15,16-09-22,24-06-23,Brazil
208,Standard,15,05-01-23,23-06-23,Mexico
209,Premium,11,10-12-22,24-06-23,Spain
210,Basic,14,22-11-22,26-06-23,Italy
211,Premium,15,15-11-22,27-06-23,United States
212,Basic,11,28-10-22,26-06-23,Canada
213,Standard,12,08-09-22,24-06-23,United Kingdom
214,Standard,13,30-06-22,28-06-23,Australia
215,Basic,13,02-09-22,27-06-23,Germany
216,Premium,14,08-10-22,24-06-23,France
217,Basic,15,13-11-22,25-06-23,Brazil
218,Standard,12,15-11-22,28-06-23,Mexico
219,Premium,12,16-11-22,25-06-23,Spain
220,Basic,12,26-11-22,27-06-23,Italy
221,Basic,12,26-11-22,25-06-23,United States
222,Basic,10,12-12-22,26-06-23,Canada
223,Standard,12,08-01-23,25-06-23,United Kingdom
224,Premium,15,27-11-22,29-06-23,Australia
225,Basic,14,11-10-22,27-06-23,Germany
226,Basic,10,27-09-22,26-06-23,France
227,Premium,12,30-09-22,24-06-23,Brazil
228,Standard,10,04-11-22,27-06-23,Mexico
229,Standard,13,04-11-22,27-06-23,Spain
230,Basic,12,30-10-22,26-06-23,Italy
231,Premium,11,29-10-22,24-06-23,United States
232,Standard,11,30-08-22,27-06-23,Canada
233,Basic,15,07-07-22,26-06-23,United Kingdom
234,Standard,14,26-05-22,27-06-23,Australia
235,Premium,11,17-05-22,25-06-23,Germany
236,Basic,11,08-05-22,26-06-23,France
237,Premium,13,07-07-22,25-06-23,Brazil
238,Standard,15,17-07-22,28-06-23,Mexico
239,Basic,15,23-12-22,26-06-23,Spain
240,Standard,13,27-06-22,26-06-23,Italy
241,Premium,13,31-05-22,27-06-23,United States
242,Basic,12,02-06-22,26-06-23,Canada
243,Standard,11,25-05-22,27-06-23,United Kingdom
244,Premium,15,26-04-22,26-06-23,Australia
245,Basic,13,20-04-22,26-06-23,Germany
246,Premium,11,03-05-22,25-06-23,France
247,Basic,12,07-07-22,27-06-23,Brazil
248,Standard,13,15-09-22,26-06-23,Mexico
249,Standard,14,16-09-22,27-06-23,Spain
250,Basic,14,09-08-22,26-06-23,Italy
251,Premium,15,25-06-22,27-06-23,United States
252,Basic,11,30-05-22,26-06-23,Canada
253,Standard,15,21-05-22,25-06-23,United Kingdom
254,Premium,12,20-05-22,27-06-23,Australia
255,Basic,13,20-05-22,26-06-23,Germany
256,Premium,12,30-05-22,26-06-23,France
257,Basic,13,17-06-22,25-06-23,Brazil
258,Standard,11,16-07-22,28-06-23,Mexico
259,Standard,15,05-08-22,26-06-23,Spain
260,Basic,10,17-07-22,26-06-23,Italy
261,Premium,13,04-07-22,25-06-23,United States
262,Basic,12,13-07-22,26-06-23,Canada
263,Standard,15,25-07-22,24-06-23,United Kingdom
264,Premium,10,09-08-22,27-06-23,Australia
265,Basic,11,05-08-22,25-06-23,Germany
266,Premium,10,17-08-22,26-06-23,France
267,Basic,11,08-09-22,27-06-23,Brazil
268,Standard,13,16-10-22,28-06-23,Mexico
269,Standard,13,15-10-22,25-06-23,Spain
270,Basic,12,04-09-22,25-06-23,Italy
271,Premium,14,20-08-22,26-06-23,United States
272,Basic,10,10-08-22,26-06-23,Canada
273,Standard,12,02-08-22,25-06-23,United Kingdom
274,Premium,10,01-08-22,24-06-23,Australia
275,Basic,15,06-08-22,25-06-23,Germany
276,Premium,14,09-08-22,25-06-23,France
277,Basic,13,12-09-22,26-06-23,Brazil
278,Standard,14,27-09-22,26-06-23,Mexico
279,Standard,15,12-11-22,24-06-23,Spain
280,Basic,12,13-11-22,27-06-23,Italy
281,Premium,12,02-11-22,28-06-23,United States
282,Basic,11,30-10-22,25-06-23,Canada
283,Standard,15,30-06-22,26-06-23,United Kingdom
284,Premium,14,04-08-22,28-06-23,Australia
285,Basic,10,01-09-22,27-06-23,Germany
286,Premium,14,14-10-22,27-06-23,France
287,Basic,10,16-10-22,26-06-23,Brazil
288,Standard,14,20-10-22,28-06-23,Mexico
289,Standard,15,20-11-22,25-06-23,Spain
290,Basic,12,25-11-22,30-06-23,Italy
291,Premium,13,04-12-22,27-06-23,United States
292,Basic,11,12-12-22,27-06-23,Canada
293,Standard,14,09-12-22,25-06-23,United Kingdom
294,Premium,10,15-10-22,29-06-23,Australia
295,Basic,14,03-10-22,27-06-23,Germany
296,Basic,12,01-10-22,27-06-23,France
297,Basic,13,02-11-22,24-06-23,Brazil
298,Standard,14,03-11-22,27-06-23,Mexico
299,Premium,10,30-10-22,27-06-23,Spain
300,Basic,11,30-10-22,28-06-23,Italy
301,Basic,10,27-09-22,24-06-23,United States
302,Premium,11,14-09-22,27-06-23,Canada
303,Standard,12,11-06-22,26-06-23,United Kingdom
304,Standard,12,11-06-22,29-06-23,Australia
305,Basic,13,24-05-22,26-06-23,Germany
306,Premium,13,06-07-22,27-06-23,France
307,Standard,11,08-07-22,28-06-23,Brazil
308,Basic,13,27-10-22,27-06-23,Mexico
309,Standard,11,09-08-22,28-06-23,Spain
310,Premium,15,14-06-22,26-06-23,Italy
311,Basic,15,07-06-22,27-06-23,United States
312,Premium,12,27-05-22,26-06-23,Canada
313,Standard,13,27-05-22,27-06-23,United Kingdom
314,Basic,10,21-04-22,26-06-23,Australia
315,Standard,15,28-04-22,27-06-23,Germany
316,Premium,12,27-05-22,25-06-23,France
317,Basic,15,25-08-22,28-06-23,Brazil
318,Standard,10,02-09-22,27-06-23,Mexico
319,Premium,14,22-08-22,26-06-23,Spain
320,Basic,15,02-08-22,27-06-23,Italy
321,Premium,12,22-06-22,27-06-23,United States
322,Basic,15,04-06-22,27-06-23,Canada
323,Standard,14,31-05-22,26-06-23,United Kingdom
324,Standard,15,22-05-22,27-06-23,Australia
325,Basic,13,29-05-22,27-06-23,Germany
326,Premium,11,11-06-22,27-06-23,France
327,Basic,12,06-07-22,26-06-23,Brazil
328,Standard,12,26-07-22,27-06-23,Mexico
329,Premium,11,22-07-22,25-06-23,Spain
330,Basic,10,06-07-22,26-06-23,Italy
331,Premium,14,08-07-22,26-06-23,United States
332,Basic,14,22-07-22,26-06-23,Canada
333,Standard,15,24-07-22,27-06-23,United Kingdom
334,Standard,11,28-07-22,28-06-23,Australia
335,Basic,10,11-08-22,25-06-23,Germany
336,Premium,12,02-09-22,26-06-23,France
337,Basic,13,11-10-22,27-06-23,Brazil
338,Standard,12,15-10-22,27-06-23,Mexico
339,Premium,13,05-10-22,25-06-23,Spain
340,Basic,14,13-09-22,25-06-23,Italy
341,Premium,13,24-08-22,26-06-23,United States
342,Basic,11,09-08-22,26-06-23,Canada
343,Standard,13,06-08-22,25-06-23,United Kingdom
344,Standard,13,07-08-22,26-06-23,Australia
345,Basic,10,08-08-22,25-06-23,Germany
346,Premium,15,31-08-22,26-06-23,France
347,Basic,14,21-09-22,28-06-23,Brazil
348,Standard,14,05-10-22,26-06-23,Mexico
349,Premium,14,02-11-22,26-06-23,Spain
350,Basic,10,02-11-22,28-06-23,Italy
351,Premium,11,02-11-22,28-06-23,United States
352,Basic,10,20-09-22,26-06-23,Canada
353,Standard,14,10-08-22,26-06-23,United Kingdom
354,Standard,10,16-08-22,28-06-23,Australia
355,Basic,15,12-10-22,27-06-23,Germany
356,Premium,11,14-10-22,30-06-23,France
357,Basic,15,18-10-22,26-06-23,Brazil
358,Standard,12,11-11-22,28-06-23,Mexico
359,Premium,11,20-11-22,26-06-23,Spain
360,Basic,15,21-11-22,30-06-23,Italy
361,Premium,12,25-11-22,28-06-23,United States
362,Basic,11,08-12-22,27-06-23,Canada
363,Standard,12,01-11-22,25-06-23,United Kingdom
364,Standard,14,12-10-22,29-06-23,Australia
365,Basic,11,13-10-22,27-06-23,Germany
366,Premium,12,17-10-22,29-06-23,France
367,Basic,13,23-10-22,25-06-23,Brazil
368,Standard,13,24-10-22,28-06-23,Mexico
369,Premium,12,25-10-22,27-06-23,Spain
370,Basic,11,22-10-22,29-06-23,Italy
371,Basic,11,30-09-22,25-06-23,United States
372,Basic,11,06-09-22,27-06-23,Canada
373,Standard,10,18-06-22,26-06-23,United Kingdom
374,Premium,10,12-06-22,28-06-23,Australia
375,Basic,14,17-06-22,28-06-23,Germany
376,Basic,12,20-06-22,27-06-23,France
377,Premium,12,27-08-22,28-06-23,Brazil
378,Standard,14,13-08-22,27-06-23,Mexico
379,Standard,10,12-08-22,28-06-23,Spain
380,Basic,15,05-08-22,27-06-23,Italy
381,Premium,10,14-07-22,27-06-23,United States
382,Standard,10,07-06-22,26-06-23,Canada
383,Basic,10,01-06-22,27-06-23,United Kingdom
384,Standard,10,19-05-22,28-06-23,Australia
385,Premium,15,22-05-22,27-06-23,Germany
386,Basic,14,11-07-22,26-06-23,France
387,Premium,11,19-07-22,28-06-23,Brazil
388,Standard,12,21-07-22,28-06-23,Mexico
389,Basic,14,02-08-22,26-06-23,Spain
390,Standard,13,03-07-22,28-06-23,Italy
391,Premium,13,23-06-22,27-06-23,United States
392,Basic,15,03-06-22,28-06-23,Canada
393,Standard,10,03-06-22,26-06-23,United Kingdom
394,Premium,14,30-05-22,27-06-23,Australia
395,Basic,12,05-06-22,26-06-23,Germany
396,Premium,14,10-06-22,27-06-23,France
397,Basic,11,14-07-22,26-06-23,Brazil
398,Standard,13,15-07-22,27-06-23,Mexico
399,Standard,12,14-07-22,25-06-23,Spain
400,Basic,14,13-07-22,27-06-23,Italy
401,Premium,12,17-07-22,26-06-23,United States
402,Basic,14,21-07-22,26-06-23,Canada
403,Standard,13,23-07-22,28-06-23,United Kingdom
404,Premium,13,01-08-22,28-06-23,Australia
405,Basic,13,06-08-22,26-06-23,Germany
406,Premium,12,19-08-22,26-06-23,France
407,Basic,12,26-08-22,27-06-23,Brazil
408,Standard,13,27-09-22,27-06-23,Mexico
409,Standard,14,15-09-22,25-06-23,Spain
410,Basic,15,02-09-22,25-06-23,Italy
411,Premium,14,03-09-22,26-06-23,United States
412,Basic,12,03-09-22,26-06-23,Canada
413,Standard,13,24-08-22,26-06-23,United Kingdom
414,Premium,14,21-08-22,27-06-23,Australia
415,Basic,13,23-08-22,25-06-23,Germany
416,Premium,10,02-09-22,26-06-23,France
417,Basic,14,21-09-22,29-06-23,Brazil
418,Standard,14,21-10-22,27-06-23,Mexico
419,Standard,11,30-10-22,27-06-23,Spain
420,Basic,10,02-11-22,28-06-23,Italy
421,Premium,14,16-10-22,28-06-23,United States
422,Basic,14,15-09-22,29-06-23,Canada
423,Standard,15,12-09-22,27-06-23,United Kingdom
424,Premium,12,18-09-22,29-06-23,Australia
425,Basic,13,04-10-22,27-06-23,Germany
426,Premium,15,05-10-22,30-06-23,France
427,Basic,11,06-11-22,26-06-23,Brazil
428,Standard,12,17-11-22,28-06-23,Mexico
429,Standard,14,18-11-22,26-06-23,Spain
430,Basic,14,22-11-22,30-06-23,Italy
431,Premium,15,04-12-22,28-06-23,United States
432,Basic,12,19-11-22,30-06-23,Canada
433,Standard,11,06-11-22,25-06-23,United Kingdom
434,Premium,12,15-10-22,29-06-23,Australia
435,Basic,11,17-10-22,28-06-23,Germany
436,Premium,11,19-10-22,29-06-23,France
437,Basic,13,23-10-22,25-06-23,Brazil
438,Standard,12,24-10-22,28-06-23,Mexico
439,Standard,12,23-10-22,27-06-23,Spain
440,Basic,11,10-10-22,29-06-23,Italy
441,Premium,13,05-10-22,28-06-23,United States
442,Basic,12,01-07-22,27-06-23,Canada
443,Standard,10,01-07-22,27-06-23,United Kingdom
444,Premium,10,25-06-22,28-06-23,Australia
445,Basic,12,24-06-22,28-06-23,Germany
446,Basic,14,28-06-22,28-06-23,France
447,Basic,15,11-08-22,28-06-23,Brazil
448,Standard,14,12-08-22,27-06-23,Mexico
449,Premium,10,07-08-22,28-06-23,Spain
450,Basic,14,06-08-22,27-06-23,Italy
451,Basic,12,18-07-22,28-06-23,United States
452,Premium,12,16-06-22,26-06-23,Canada
453,Standard,11,30-05-22,28-06-23,United Kingdom
454,Standard,15,28-05-22,28-06-23,Australia
455,Basic,11,31-05-22,27-06-23,Germany
456,Premium,14,04-06-22,27-06-23,France
457,Standard,14,29-06-22,28-06-23,Brazil
458,Basic,10,24-07-22,28-06-23,Mexico
459,Standard,10,19-07-22,27-06-23,Spain
460,Premium,10,30-06-22,28-06-23,Italy
461,Basic,11,16-06-22,27-06-23,United States
462,Premium,15,10-06-22,28-06-23,Canada
463,Standard,11,01-06-22,26-06-23,United Kingdom
464,Basic,13,03-06-22,28-06-23,Australia
465,Standard,11,05-06-22,26-06-23,Germany
466,Premium,10,07-06-22,27-06-23,France
467,Basic,10,22-06-22,26-06-23,Brazil
468,Standard,11,28-06-22,27-06-23,Mexico
469,Premium,12,29-06-22,29-06-23,Spain
470,Basic,15,03-07-22,28-06-23,Italy
471,Premium,15,08-07-22,27-06-23,United States
472,Basic,10,13-07-22,27-06-23,Canada
473,Standard,10,27-07-22,28-06-23,United Kingdom
474,Standard,14,30-07-22,28-06-23,Australia
475,Basic,11,13-08-22,26-06-23,Germany
476,Premium,14,18-08-22,26-06-23,France
477,Basic,10,24-08-22,27-06-23,Brazil
478,Standard,10,08-09-22,27-06-23,Mexico
479,Premium,13,04-09-22,27-06-23,Spain
480,Basic,15,04-09-22,27-06-23,Italy
481,Premium,12,04-09-22,26-06-23,United States
482,Basic,11,27-08-22,27-06-23,Canada
483,Standard,14,25-08-22,27-06-23,United Kingdom
484,Standard,13,25-08-22,28-06-23,Australia
485,Basic,14,01-09-22,28-06-23,Germany
486,Premium,15,13-09-22,26-06-23,France
487,Basic,15,05-10-22,29-06-23,Brazil
488,Standard,11,08-10-22,28-06-23,Mexico
489,Premium,11,26-10-22,28-06-23,Spain
490,Basic,12,18-10-22,29-06-23,Italy
491,Premium,12,07-10-22,28-06-23,United States
492,Basic,10,17-09-22,30-06-23,Canada
493,Standard,11,18-09-22,27-06-23,United Kingdom
494,Standard,14,27-09-22,29-06-23,Australia
495,Basic,13,30-09-22,27-06-23,Germany
496,Premium,10,30-10-22,30-06-23,France
497,Basic,11,09-11-22,29-06-23,Brazil
498,Standard,11,17-11-22,28-06-23,Mexico
499,Premium,10,18-11-22,26-06-23,Spain
500,Basic,15,22-11-22,30-06-23,Italy
501,Premium,14,22-11-22,28-06-23,Spain
502,Basic,13,21-11-22,30-06-23,Spain
503,Standard,14,10-11-22,26-06-23,United States
504,Standard,12,21-10-22,29-06-23,Canada
505,Basic,11,21-10-22,28-06-23,United States
506,Premium,14,23-10-22,29-06-23,United States
507,Basic,15,24-10-22,26-06-23,Canada
508,Standard,12,23-10-22,28-06-23,United Kingdom
509,Premium,10,21-10-22,28-06-23,Australia
510,Basic,15,06-10-22,29-06-23,Germany
511,Premium,11,26-07-22,28-06-23,France
512,Basic,15,13-07-22,28-06-23,Brazil
513,Standard,10,06-07-22,28-06-23,Mexico
514,Standard,14,07-07-22,28-06-23,Spain
515,Basic,15,01-07-22,29-06-23,Italy
516,Premium,14,31-07-22,28-06-23,Spain
517,Basic,12,06-08-22,28-06-23,Spain
518,Standard,15,07-08-22,27-06-23,United States
519,Premium,10,06-08-22,28-06-23,Canada
520,Basic,13,03-08-22,28-06-23,United States
521,Basic,15,18-06-22,28-06-23,United States
522,Basic,14,17-06-22,27-06-23,Canada
523,Standard,13,07-06-22,29-06-23,United Kingdom
524,Premium,15,06-06-22,28-06-23,Australia
525,Basic,14,04-06-22,27-06-23,Germany
526,Basic,11,20-06-22,28-06-23,France
527,Premium,10,10-07-22,28-06-23,Brazil
528,Standard,13,13-07-22,29-06-23,Mexico
529,Standard,11,07-07-22,27-06-23,Spain
530,Basic,14,22-06-22,28-06-23,Italy
531,Premium,14,15-06-22,27-06-23,Spain
532,Standard,11,03-06-22,28-06-23,Spain
533,Basic,14,04-06-22,27-06-23,United States
534,Standard,11,05-06-22,28-06-23,Canada
535,Premium,15,07-06-22,29-06-23,United States
536,Basic,10,14-06-22,29-06-23,United States
537,Premium,10,17-06-22,27-06-23,Canada
538,Standard,14,19-06-22,28-06-23,United Kingdom
539,Basic,12,02-07-22,29-06-23,Australia
540,Standard,10,03-07-22,29-06-23,Germany
541,Premium,10,13-07-22,27-06-23,France
542,Basic,14,26-07-22,27-06-23,Brazil
543,Standard,11,27-07-22,28-06-23,Mexico
544,Premium,14,08-08-22,28-06-23,Spain
545,Basic,14,17-08-22,27-06-23,Italy
546,Premium,10,20-08-22,26-06-23,Spain
547,Basic,10,05-09-22,27-06-23,Spain
548,Standard,12,05-09-22,27-06-23,United States
549,Standard,10,05-09-22,27-06-23,Canada
550,Basic,11,06-09-22,27-06-23,United States
551,Premium,13,03-09-22,28-06-23,United States
552,Basic,13,29-08-22,27-06-23,Canada
553,Standard,14,27-08-22,28-06-23,United Kingdom
554,Premium,12,29-08-22,29-06-23,Australia
555,Basic,11,13-09-22,28-06-23,Germany
556,Premium,14,24-09-22,27-06-23,France
557,Basic,15,05-10-22,29-06-23,Brazil
558,Standard,14,18-10-22,30-06-23,Mexico
559,Standard,13,19-10-22,28-06-23,Spain
560,Basic,15,14-10-22,29-06-23,Italy
561,Premium,14,30-09-22,28-06-23,Spain
562,Basic,14,19-09-22,30-06-23,Spain
563,Standard,10,24-09-22,29-06-23,United States
564,Premium,14,28-09-22,29-06-23,Canada
565,Basic,12,29-09-22,27-06-23,United States
566,Premium,11,11-10-22,01-07-23,United States
567,Basic,14,08-11-22,29-06-23,Canada
568,Standard,11,16-11-22,28-06-23,United Kingdom
569,Standard,10,17-11-22,26-06-23,Australia
570,Basic,10,20-11-22,30-06-23,Germany
571,Premium,13,21-11-22,29-06-23,France
572,Basic,12,21-11-22,30-06-23,Brazil
573,Standard,12,18-11-22,27-06-23,Mexico
574,Premium,14,26-10-22,29-06-23,Spain
575,Basic,13,25-10-22,28-06-23,Italy
576,Premium,15,26-10-22,30-06-23,Spain
